"Timestamp","Datetime","Date","Time","Location"
"2016-04-30 13:58:27",2016-04-30 13:58:27,2016-04-30,13:58:27,"East Pond"
"2016-04-30 13:58:37",2016-04-30 13:58:37,2016-04-30,13:58:37,"East Pond"
"2016-04-30 13:58:47",2016-04-30 13:58:47,2016-04-30,13:58:47,"East Pond"
"2016-04-30 13:58:57",2016-04-30 13:58:57,2016-04-30,13:58:57,"East Pond"
"2016-04-30 13:59:07",2016-04-30 13:59:07,2016-04-30,13:59:07,"East Pond"
"2016-04-30 13:59:17",2016-04-30 13:59:17,2016-04-30,13:59:17,"East Pond"
"2016-04-30 13:59:27",2016-04-30 13:59:27,2016-04-30,13:59:27,"East Pond"
"2016-04-30 13:59:37",2016-04-30 13:59:37,2016-04-30,13:59:37,"East Pond"
"2016-04-30 13:59:47",2016-04-30 13:59:47,2016-04-30,13:59:47,"East Pond"
"2016-04-30 13:59:57",2016-04-30 13:59:57,2016-04-30,13:59:57,"East Pond"
"2016-04-30 14:00:07",2016-04-30 14:00:07,2016-04-30,14:00:07,"East Pond"
"2016-04-30 14:00:17",2016-04-30 14:00:17,2016-04-30,14:00:17,"East Pond"
"2016-04-30 14:00:27",2016-04-30 14:00:27,2016-04-30,14:00:27,"East Pond"
"2016-04-30 14:00:37",2016-04-30 14:00:37,2016-04-30,14:00:37,"East Pond"
"2016-04-30 14:00:47",2016-04-30 14:00:47,2016-04-30,14:00:47,"East Pond"
"2016-04-30 14:00:57",2016-04-30 14:00:57,2016-04-30,14:00:57,"East Pond"
"2016-04-30 14:01:07",2016-04-30 14:01:07,2016-04-30,14:01:07,"East Pond"
"2016-04-30 14:01:17",2016-04-30 14:01:17,2016-04-30,14:01:17,"East Pond"
"2016-04-30 14:01:27",2016-04-30 14:01:27,2016-04-30,14:01:27,"East Pond"
"2016-04-30 14:01:37",2016-04-30 14:01:37,2016-04-30,14:01:37,"East Pond"
"2016-04-30 14:01:47",2016-04-30 14:01:47,2016-04-30,14:01:47,"East Pond"
"2016-04-30 14:01:57",2016-04-30 14:01:57,2016-04-30,14:01:57,"East Pond"
"2016-04-30 14:02:07",2016-04-30 14:02:07,2016-04-30,14:02:07,"East Pond"
"2016-04-30 14:02:17",2016-04-30 14:02:17,2016-04-30,14:02:17,"East Pond"
"2016-04-30 14:02:27",2016-04-30 14:02:27,2016-04-30,14:02:27,"East Pond"
"2016-04-30 14:02:37",2016-04-30 14:02:37,2016-04-30,14:02:37,"East Pond"
"2016-04-30 14:02:47",2016-04-30 14:02:47,2016-04-30,14:02:47,"East Pond"
"2016-04-30 14:02:57",2016-04-30 14:02:57,2016-04-30,14:02:57,"East Pond"
"2016-04-30 14:03:07",2016-04-30 14:03:07,2016-04-30,14:03:07,"East Pond"
"2016-04-30 14:03:17",2016-04-30 14:03:17,2016-04-30,14:03:17,"East Pond"
"2016-04-30 14:03:27",2016-04-30 14:03:27,2016-04-30,14:03:27,"East Pond"
"2016-04-30 14:03:37",2016-04-30 14:03:37,2016-04-30,14:03:37,"East Pond"
"2016-04-30 14:03:47",2016-04-30 14:03:47,2016-04-30,14:03:47,"East Pond"
"2016-04-30 14:03:57",2016-04-30 14:03:57,2016-04-30,14:03:57,"East Pond"
"2016-05-19 10:25:58",2016-05-19 10:25:58,2016-05-19,10:25:58,"East Pond"
"2016-05-19 10:26:08",2016-05-19 10:26:08,2016-05-19,10:26:08,"East Pond"
"2016-05-19 10:26:18",2016-05-19 10:26:18,2016-05-19,10:26:18,"East Pond"
