"","Created","Baro..mbar.","Temp..C.","RDO..mg.L.","RDO.Sat....","pH..pH.","ORP..mV.","Act.Cond..µS.cm.","Sp.Cond..µS.cm.","Salinity..psu.","Resist..Ohm.cm.","Density..g.cm.3.","TDS..ppt.","Depth..m.","Pressure..psi.","Air.Temp..C."
"1","","","","","","","","","","","","","","","",""
"2","04/27/2016 08:44","1002.5","8.57","11.97","103.6","7.07","130.5","34.8","50.7","0","28771","1","0","0.57","0.807","11.1"
"3","04/27/2016 08:44","1002.5","8.6","11.97","103.6","7.16","122.6","34.8","50.7","0","28771","1","0","0.57","0.807","11.1"
"4","04/27/2016 08:44","1002.5","8.64","11.94","103.5","7.23","115.6","34.8","50.6","0","28743","1","0","0.65","0.931","11.2"
"5","04/27/2016 08:44","1002.5","8.66","11.92","103.4","7.29","110.3","34.8","50.6","0","28742","1","0","0.92","1.303","11.2"
"6","04/27/2016 08:45","1002.5","8.66","11.91","103.3","7.34","104.6","34.8","50.5","0","28760","1","0","1.02","1.456","11.3"
"7","04/27/2016 08:45","1002.5","8.67","11.9","103.3","7.39","100.2","34.8","50.6","0","28742","1","0","1.18","1.675","11.4"
"8","04/27/2016 08:45","1002.4","8.67","11.91","103.4","7.42","96.3","34.7","50.5","0","28793","1","0","1.27","1.811","11.4"
"9","04/27/2016 08:45","1002.5","8.68","11.9","103.3","7.46","93.7","34.7","50.4","0","28823","1","0","1.28","1.827","11.5"
"10","04/27/2016 08:45","1002.5","8.71","11.9","103.3","7.48","89.8","34.7","50.4","0","28792","1","0","1.47","2.093","11.6"
"11","04/27/2016 08:45","1002.4","8.71","11.89","103.3","7.51","87.2","34.7","50.4","0","28785","1","0","1.67","2.376","11.7"
"12","04/27/2016 08:46","1002.5","8.71","11.9","103.4","7.51","85.8","34.7","50.4","0","28783","1","0","1.93","2.751","11.8"
"13","04/27/2016 08:46","1002.6","8.71","11.9","103.3","7.54","83.6","34.8","50.5","0","28763","1","0","2.13","3.026","11.9"
"14","04/27/2016 08:46","1002.5","8.72","11.9","103.3","7.54","82.2","34.7","50.4","0","28807","1","0","2.35","3.35","12"
"15","04/27/2016 08:46","1002.5","8.72","11.89","103.3","7.56","80.4","34.8","50.4","0","28772","1","0","2.56","3.641","12.1"
"16","04/27/2016 08:46","1002.5","8.72","11.9","103.4","7.56","78.9","34.7","50.4","0","28781","1","0","2.71","3.848","12.2"
"17","04/27/2016 08:46","1002.5","8.72","11.9","103.4","7.56","77.8","34.7","50.3","0","28828","1","0","2.84","4.036","12.3"
"18","04/27/2016 08:47","1002.6","8.73","11.91","103.5","7.58","76.9","34.7","50.3","0","28813","1","0","3.08","4.386","12.4"
"19","04/27/2016 08:47","1002.5","8.73","11.94","103.8","7.59","75.5","34.7","50.4","0","28786","1","0","3.28","4.667","12.5"
"20","04/27/2016 08:47","1002.5","8.73","11.92","103.6","7.59","75.1","34.7","50.4","0","28797","1","0","3.42","4.867","12.6"
"21","04/27/2016 08:47","1002.4","8.73","11.9","103.5","7.59","74.2","34.7","50.4","0","28779","1","0","3.62","5.146","12.6"
"22","04/27/2016 08:47","1002.4","8.72","11.91","103.5","7.59","73.2","34.7","50.4","0","28808","1","0","3.68","5.241","12.7"
"23","04/27/2016 08:47","1002.5","8.72","11.9","103.4","7.59","72.8","34.7","50.4","0","28808","1","0","3.78","5.371","12.9"
"24","04/27/2016 08:48","1002.5","8.72","11.89","103.3","7.58","72.4","34.7","50.4","0","28790","1","0","3.86","5.496","13"
"25","04/27/2016 08:48","1002.4","8.72","11.9","103.4","7.59","71.3","34.7","50.4","0","28811","1","0","4.18","5.949","13.1"
"26","04/27/2016 08:48","1002.5","8.71","11.92","103.6","7.58","70.9","34.7","50.4","0","28788","1","0","4.34","6.173","13.2"
"27","04/27/2016 08:48","1002.4","8.71","11.93","103.7","7.59","70.7","34.7","50.4","0","28815","1","0","4.53","6.438","13.3"
"28","04/27/2016 08:48","1002.5","8.71","11.91","103.5","7.58","70.1","34.7","50.4","0","28794","1","0","4.75","6.752","13.4"
"29","04/27/2016 08:48","1002.6","8.71","11.9","103.4","7.58","69.9","34.7","50.4","0","28801","1","0","4.83","6.869","13.5"
"30","04/27/2016 08:49","1002.5","8.71","11.91","103.5","7.58","69.6","34.7","50.4","0","28811","1","0","5.01","7.125","13.6"
"31","04/27/2016 08:49","1002.5","8.71","11.91","103.4","7.58","68.9","34.7","50.4","0","28795","1","0","5.25","7.462","13.7"
"32","04/27/2016 08:49","1002.5","8.71","11.91","103.4","7.59","68.6","34.7","50.4","0","28829","1","0","5.38","7.653","13.8"
"33","04/27/2016 08:49","1002.5","8.71","11.91","103.5","7.58","68.5","34.8","50.5","0","28763","1","0","5.59","7.95","14"
"34","04/27/2016 08:49","1002.5","8.71","11.9","103.4","7.57","68.4","34.7","50.4","0","28814","1","0","5.75","8.185","14"
"35","04/27/2016 08:49","1002.6","8.71","11.92","103.5","7.58","67.7","34.7","50.4","0","28821","1","0","5.92","8.416","14.2"
"36","04/27/2016 08:50","1002.5","8.71","11.9","103.4","7.57","67.6","34.7","50.4","0","28788","1","0","6.03","8.576","14.2"
"37","04/27/2016 08:50","1002.6","8.71","11.93","103.6","7.57","67","34.7","50.4","0","28797","1","0","6.2","8.825","14.4"
"38","04/27/2016 08:50","1002.6","8.71","11.9","103.4","7.57","66.9","34.7","50.4","0","28799","1","0","6.33","9.007","14.5"
"39","04/27/2016 08:50","1002.5","8.71","11.93","103.6","7.56","66.4","34.7","50.4","0","28785","1","0","6.43","9.147","14.6"
"40","04/27/2016 08:50","1002.5","8.71","11.96","103.9","7.57","66.5","34.7","50.4","0","28814","1","0","6.41","9.122","14.7"
"41","04/27/2016 08:50","1002.4","8.71","12","104.3","7.55","66.5","34.7","50.4","0","28801","1","0","6.46","9.193","14.8"
"42","04/27/2016 08:51","1002.6","8.71","11.97","103.9","7.56","66.1","34.7","50.4","0","28783","1","0","6.71","9.55","15"
"43","04/27/2016 08:51","1002.6","8.71","11.93","103.6","7.55","65.8","34.7","50.4","0","28789","1","0","6.82","9.705","15.1"
"44","04/27/2016 08:51","1002.5","8.71","11.91","103.4","7.55","65.5","34.7","50.4","0","28809","1","0","6.97","9.907","15.2"
"45","04/27/2016 08:51","1002.6","8.71","11.9","103.4","7.56","65.5","34.7","50.4","0","28804","1","0","7.09","10.081","15.4"
"46","04/27/2016 08:51","1002.6","8.71","11.92","103.5","7.55","65.3","34.7","50.4","0","28805","1","0","7.2","10.234","15.5"
"47","04/27/2016 08:51","1002.6","8.71","11.91","103.4","7.55","65.1","34.7","50.4","0","28796","1","0","7.4","10.521","15.6"
"48","04/27/2016 08:52","1002.7","8.71","11.91","103.4","7.54","65.3","34.7","50.4","0","28800","1","0","7.55","10.745","15.8"
"49","04/27/2016 08:52","1002.6","8.71","11.91","103.4","7.53","65","34.7","50.4","0","28820","1","0","7.71","10.97","15.8"
"50","04/27/2016 08:52","1002.6","8.67","11.89","103.2","7.53","65.1","34.7","50.4","0","28840","1","0","7.87","11.192","16"
"51","04/27/2016 08:52","1002.6","8.66","11.93","103.5","7.53","64.8","34.6","50.3","0","28877","1","0","8.09","11.514","16.1"
"52","04/27/2016 08:52","1002.6","8.66","11.95","103.6","7.53","64.7","34.6","50.3","0","28909","1","0","8.22","11.696","16.2"
"53","04/27/2016 08:52","1002.6","8.66","11.97","103.8","7.53","64.6","34.6","50.3","0","28887","1","0","8.41","11.96","16.3"
"54","04/27/2016 08:53","1002.4","8.65","11.93","103.5","7.52","64.7","34.6","50.3","0","28907","1","0","8.53","12.137","16.4"
"55","04/27/2016 08:53","1002.6","8.63","11.93","103.4","7.51","64.3","34.6","50.3","0","28928","1","0","8.62","12.258","16.5"
"56","04/27/2016 08:53","1002.6","8.62","11.93","103.4","7.51","64.4","34.6","50.3","0","28906","1","0","8.78","12.486","16.6"
"57","04/27/2016 08:53","1002.6","8.62","11.93","103.4","7.51","64.7","34.6","50.4","0","28877","1","0","8.98","12.77","16.7"
"58","04/27/2016 08:53","1002.6","8.62","11.98","103.8","7.51","64","34.6","50.4","0","28886","1","0","9.19","13.072","16.8"
"59","04/27/2016 08:53","1002.6","8.62","11.99","103.9","7.5","63.9","34.6","50.3","0","28916","1","0","9.2","13.091","16.8"
"60","04/27/2016 08:54","1002.6","8.62","11.97","103.7","7.49","64.7","34.6","50.3","0","28915","1","0","9.46","13.46","16.9"
