"","Created","Baro..mbar.","Temp..C.","RDO..mg.L.","RDO.Sat....","pH..pH.","ORP..mV.","Act.Cond..µS.cm.","Sp.Cond..µS.cm.","Salinity..psu.","Resist..Ohm.cm.","Density..g.cm.3.","TDS..ppt.","Depth..m.","Pressure..psi.","Air.Temp..C."
"1","","","","","","","","","","","","","","","",""
"2","2018-06-27 11:04:14","1008","21.9","8.95","102.6","6.68","157","52.7","56.1","0","18972","0.998","0","-0.01","-0.008","31.3"
"3","2018-06-27 11:04:21","1007.9","21.78","8.94","102.6","6.71","152.4","52.6","56","0","18997","0.998","0","0.08","0.118","31.3"
"4","2018-06-27 11:04:31","1008","21.83","8.94","102.4","6.71","149.2","52.6","56.1","0","19014","0.998","0","0.25","0.349","31.4"
"5","2018-06-27 11:04:41","1007.9","21.59","8.88","101.7","6.72","146.5","52.3","55.8","0","19104","0.998","0","0.5","0.714","31.4"
"6","2018-06-27 11:04:51","1007.9","21.77","8.96","102.5","6.72","145.6","52.6","56.1","0","19028","0.998","0","0.67","0.957","31.4"
"7","2018-06-27 11:05:01","1007.9","21.55","8.89","101.8","6.74","144.1","52.2","55.7","0","19141","0.998","0","0.81","1.155","31.4"
"8","2018-06-27 11:05:11","1007.9","21.28","8.91","101.6","6.73","142.5","52","55.7","0","19219","0.998","0","0.94","1.34","31.5"
"9","2018-06-27 11:05:21","1007.9","21.24","8.95","101.4","6.76","140.5","51.8","55.8","0","19298","0.998","0","1.16","1.645","31.5"
"10","2018-06-27 11:05:31","1007.9","21.19","8.96","101.5","6.74","140.4","51.8","55.8","0","19303","0.998","0","1.38","1.963","31.5"
"11","2018-06-27 11:05:41","1007.8","21.15","8.96","101.5","6.69","141.7","51.8","55.8","0","19319","0.998","0","1.59","2.258","31.5"
"12","2018-06-27 11:05:51","1007.8","21.08","8.97","101.4","6.72","140","51.7","55.8","0","19355","0.998","0","1.73","2.464","31.4"
"13","2018-06-27 11:06:01","1007.9","21.03","8.97","101.3","6.72","139.2","51.7","55.9","0","19360","0.998","0","1.86","2.651","31.4"
"14","2018-06-27 11:06:11","1007.9","21.02","8.99","101.4","6.76","137.2","51.6","55.8","0","19386","0.998","0","1.91","2.72","31.4"
"15","2018-06-27 11:06:21","1007.8","21.01","8.98","101.4","6.72","139.3","51.6","55.8","0","19395","0.998","0","1.96","2.791","31.4"
"16","2018-06-27 11:06:31","1007.9","20.97","8.99","101.4","6.7","138.9","51.6","55.9","0","19386","0.998","0","1.98","2.821","31.4"
"17","2018-06-27 11:06:41","1007.9","20.97","9","101.5","6.72","137.4","51.5","55.8","0","19401","0.998","0","2.06","2.924","31.4"
"18","2018-06-27 11:06:51","1007.9","20.97","9","101.5","6.73","137.2","51.5","55.8","0","19409","0.998","0","2.12","3.022","31.3"
