"","Created","Baro..mbar.","Temp..C.","RDO..mg.L.","RDO.Sat....","pH..pH.","ORP..mV.","Act.Cond..µS.cm.","Sp.Cond..µS.cm.","Salinity..psu.","Resist..Ohm.cm.","Density..g.cm.3.","TDS..ppt.","Depth..m.","Pressure..psi.","Air.Temp..C."
"1","","","","","","","","","","","","","","","",""
"2","2019-03-07 10:21:32","1012.7","0.51","15.5","107.6","7.52","41.2","34.3","64.4","0","29173","1","0","0.24","0.488","0.5"
"3","2019-03-07 10:21:40","1012.5","0.5","15.69","108.8","7.46","42.2","34.2","64.3","0","29282","1","0","0.21","0.448","0.5"
"4","2019-03-07 10:21:50","1012.6","0.55","15.74","109.3","7.46","42.4","34.3","64.4","0","29186","1","0","0.21","0.445","0.5"
"5","2019-03-07 10:22:00","1012.6","0.56","15.74","109.5","7.45","43.4","34.3","64.3","0","29157","1","0","0.2","0.439","0.5"
"6","2019-03-07 10:22:10","1012.6","0.56","15.76","109.6","7.46","45.2","34.3","64.2","0","29192","1","0","0.2","0.44","0.5"
"7","2019-03-07 10:22:20","1012.6","0.41","15.85","109.9","7.43","45.5","34.1","64.2","0","29304","1","0","0.26","0.515","0.5"
"8","2019-03-07 10:22:30","1012.6","0.42","15.9","110.1","7.44","46.2","34.1","64.4","0","29295","1","0","0.21","0.448","0.5"
"9","2019-03-07 10:22:40","1012.5","0.45","15.87","110","7.45","46.1","34.1","64.3","0","29310","1","0","0.21","0.456","0.4"
"10","2019-03-07 10:22:50","1012.5","0.45","15.89","110.1","7.47","45.9","34.2","64.3","0","29275","1","0","0.22","0.466","0.4"
"11","2019-03-07 10:23:00","1012.5","0.45","15.9","110.2","7.49","46","34.2","64.4","0","29251","1","0","0.22","0.47","0.4"
"12","2019-03-07 10:23:11","1012.6","2.19","16.72","115.7","7.42","48.5","34","64.2","0","29415","1","0","1.45","2.209","0.4"
"13","2019-03-07 10:23:20","1012.5","2.75","14.84","108.6","7.37","53.7","33.3","58.6","0","30041","1","0","1.92","2.884","0.4"
"14","2019-03-07 10:23:31","1012.5","2.92","14.17","104.8","7.35","53.5","33.5","58.1","0","29854","1","0","2.37","3.528","0.4"
"15","2019-03-07 10:23:40","1012.5","2.88","13.91","103.2","7.42","52","33.7","58.2","0","29702","1","0","2.54","3.769","0.4"
"16","2019-03-07 10:23:50","1012.6","2.84","13.87","102.7","7.44","52.3","33.6","58.2","0","29771","1","0","2.55","3.771","0.4"
"17","2019-03-07 10:24:00","1012.6","2.81","13.88","102.7","7.45","52.9","33.5","58.2","0","29830","1","0","2.54","3.768","0.4"
