"","Created","Baro..mbar.","Temp..C.","RDO..mg.L.","RDO.Sat....","pH..pH.","ORP..mV.","Act.Cond..µS.cm.","Sp.Cond..µS.cm.","Salinity..psu.","Resist..Ohm.cm.","Density..g.cm.3.","TDS..ppt.","Depth..m.","Pressure..psi.","Air.Temp..C."
"1","","","","","","","","","","","","","","","",""
"2","2019-04-30 15:49:57","1014","8.48","10.9","93.1","0","58.6","49.9","72.9","0","20045","1","0","0.06","0.236","12"
"3","2019-04-30 15:49:59","1014","6.86","10.9","93.1","8.31","59.1","49.9","72.9","0","20045","1","0","0.06","0.236","12"
"4","2019-04-30 15:50:09","1013.9","6.47","11.66","95.2","8.21","65.8","36.5","56.1","0","27430","1","0","0.11","0.301","12"
"5","2019-04-30 15:50:19","1013.9","6.36","11.61","94.1","8.15","71.5","35.7","55.4","0","28001","1","0","0.18","0.404","12"
"6","2019-04-30 15:50:29","1014","6.27","11.55","93.3","8.1","75.5","36.1","56.2","0","27706","1","0","0.5","0.863","12.1"
"7","2019-04-30 15:50:39","1013.9","6.27","11.47","92.7","8.07","77.9","35.6","55.4","0","28101","1","0","0.65","1.077","12.1"
"8","2019-04-30 15:50:49","1014","6.12","11.43","92.2","8.02","82.5","35.6","55.5","0","28128","1","0","0.87","1.39","12.1"
"9","2019-04-30 15:50:59","1014","6.07","11.42","91.9","8.01","82.4","35.5","55.6","0","28133","1","0","0.92","1.455","12.1"
"10","2019-04-30 15:51:09","1013.9","6.07","11.42","91.9","7.99","83.5","35.7","55.9","0","28012","1","0","1.08","1.687","12.2"
"11","2019-04-30 15:51:19","1014","6.06","11.4","91.7","7.96","84.8","35.4","55.5","0","28220","1","0","1.3","2.004","12.2"
"12","2019-04-30 15:51:29","1014","6.12","11.41","91.8","7.97","84.7","35.5","55.6","0","28183","1","0","1.44","2.198","12.2"
"13","2019-04-30 15:51:39","1013.9","6.03","11.37","91.6","7.95","85.3","35.5","55.5","0","28164","1","0","1.53","2.327","12.2"
"14","2019-04-30 15:51:49","1013.9","6.03","11.4","91.6","7.92","86.7","35.4","55.6","0","28210","1","0","1.68","2.536","12.2"
"15","2019-04-30 15:51:59","1013.9","6.03","11.39","91.5","7.93","84.9","35.4","55.6","0","28219","1","0","1.86","2.79","12.2"
"16","2019-04-30 15:52:09","1014","5.95","11.41","91.6","7.95","84.1","35.5","55.8","0","28169","1","0","1.9","2.849","12.2"
"17","2019-04-30 15:52:19","1013.9","5.93","11.42","91.6","7.92","85.3","35.4","55.7","0","28222","1","0","2.04","3.045","12.2"
"18","2019-04-30 15:52:29","1014","5.93","11.41","91.4","7.89","85.8","35.4","55.7","0","28248","1","0","2.17","3.237","12.2"
"19","2019-04-30 15:52:39","1014","5.93","11.4","91.4","7.84","87.1","35.5","55.8","0","28169","1","0","2.28","3.393","12.3"
"20","2019-04-30 15:52:49","1013.9","5.93","11.4","91.3","7.89","85.1","35.4","55.7","0","28226","1","0","2.41","3.573","12.3"
"21","2019-04-30 15:52:59","1014","5.93","11.39","91.3","7.86","86.6","35.4","55.7","0","28229","1","0","2.51","3.72","12.3"
"22","2019-04-30 15:53:09","1014.1","5.94","11.41","91.4","7.85","86.1","35.5","55.8","0","28201","1","0","2.61","3.865","12.3"
"23","2019-04-30 15:53:19","1014.1","5.93","11.4","91.4","7.84","86.6","35.5","55.8","0","28174","1","0","2.74","4.055","12.3"
"24","2019-04-30 15:53:29","1014","5.93","11.4","91.3","7.84","85.8","35.4","55.8","0","28211","1","0","2.87","4.235","12.3"
"25","2019-04-30 15:53:39","1014","5.93","11.4","91.3","7.79","86.4","35.5","55.8","0","28182","1","0","3","4.424","12.3"
"26","2019-04-30 15:53:49","1014.1","5.83","11.4","91.2","7.77","88.4","35.4","55.8","0","28241","1","0","3.17","4.664","12.3"
"27","2019-04-30 15:53:59","1014.2","5.83","11.39","91.1","7.8","85.7","35.4","55.8","0","28253","1","0","3.3","4.847","12.3"
"28","2019-04-30 15:54:09","1014.1","5.83","11.4","91.1","7.79","85.6","35.4","55.9","0","28224","1","0","3.39","4.97","12.3"
"29","2019-04-30 15:54:19","1014","5.83","11.4","91.1","7.78","87.7","35.4","55.8","0","28276","1","0","3.45","5.052","12.3"
"30","2019-04-30 15:54:29","1014","5.83","11.39","91","7.75","87.8","35.4","55.8","0","28250","1","0","3.54","5.181","12.3"
"31","2019-04-30 15:54:39","1014","5.83","11.38","91","7.72","88.7","35.4","55.8","0","28279","1","0","3.6","5.274","12.3"
"32","2019-04-30 15:54:49","1014","5.78","11.38","90.9","7.69","89.1","35.3","55.8","0","28317","1","0","3.75","5.478","12.3"
"33","2019-04-30 15:54:59","1014","5.8","11.36","90.7","7.68","88.5","35.3","55.8","0","28321","1","0","3.9","5.698","12.3"
"34","2019-04-30 15:55:09","1014","5.83","11.37","90.9","7.67","88.6","35.4","55.9","0","28247","1","0","4.04","5.896","12.3"
"35","2019-04-30 15:55:19","1014.1","5.83","11.37","90.9","7.67","88.1","35.4","55.8","0","28270","1","0","4.14","6.039","12.3"
"36","2019-04-30 15:55:29","1014","5.83","11.37","90.9","7.65","88.2","35.5","56","0","28190","1","0","4.23","6.17","12.3"
"37","2019-04-30 15:55:39","1014.1","5.83","11.38","91","7.63","88.5","35.4","55.9","0","28238","1","0","4.39","6.394","12.3"
"38","2019-04-30 15:55:49","1014","5.83","11.37","90.9","7.65","88.7","35.4","55.8","0","28266","1","0","4.55","6.624","12.3"
"39","2019-04-30 15:55:59","1014","5.78","11.36","90.8","7.65","86.9","35.4","55.9","0","28263","1","0","4.76","6.925","12.3"
"40","2019-04-30 15:56:09","1014","5.78","11.37","90.8","7.66","86","35.3","55.8","0","28307","1","0","4.89","7.112","12.3"
"41","2019-04-30 15:56:19","1014","5.76","11.35","90.6","7.65","88.2","35.3","55.7","0","28344","1","0","5.09","7.388","12.3"
"42","2019-04-30 15:56:29","1014.1","5.75","11.35","90.6","7.58","88.7","35.3","55.8","0","28334","1","0","5.2","7.55","12.3"
"43","2019-04-30 15:56:39","1014","5.74","11.35","90.5","7.57","89.1","35.3","55.8","0","28353","1","0","5.34","7.747","12.3"
"44","2019-04-30 15:56:49","1014","5.74","11.36","90.6","7.59","88.5","35.3","55.8","0","28351","1","0","5.56","8.054","12.3"
"45","2019-04-30 15:56:59","1014","5.74","11.34","90.5","7.59","87","35.3","55.8","0","28346","1","0","5.7","8.253","12.3"
"46","2019-04-30 15:57:09","1014","5.75","11.35","90.5","7.58","87.2","35.3","55.7","0","28366","1","0","5.79","8.393","12.3"
"47","2019-04-30 15:57:19","1014","5.73","11.34","90.5","7.56","87.4","35.3","55.8","0","28319","1","0","5.86","8.479","12.4"
"48","2019-04-30 15:57:29","1014","5.73","11.34","90.4","7.57","86.5","35.3","55.8","0","28367","1","0","5.93","8.592","12.4"
