Time,Battery,Air Temperature,Relative Humidity,Rel. Barometric Pressure,Wind Speed,Max Wind Sp,Wind Direction,Wet Bulb Temperature,Precip Type,Rain Intensity,Total Rain,Interval Rain,Solar Rad,Heading,
m/d/y,V,C,%,hPa,m/s,m/s,Degree,C,,mm/h,mm,mm,W/m²,Degree,
01/01/2018 00:00,11.9,-20.2,56,1013.3,0.7,1.1,22,-20.9,0,0,98.8,0,0,320,0.8
01/01/2018 00:15,11.9,-20.2,58,1013.2,0.5,0.9,0,-20.9,0,0,98.8,0,0,320,0.8
01/01/2018 00:30,11.9,-20.7,59,1013.4,0.8,1,104,-21.3,0,0,98.8,0,0,320,0.78
01/01/2018 00:45,11.9,-20.9,60,1013.4,0.7,1.3,128,-21.5,0,0,98.8,0,0,320,0.79
01/01/2018 01:00,11.9,-20.6,59,1013.4,1,1.9,302,-21.3,0,0,98.8,0,0,320,0.8
01/01/2018 01:15,11.9,-20.1,56,1013.3,1.1,1.7,329,-20.8,0,0,98.8,0,0,320,0.8
01/01/2018 01:30,11.9,-19.9,52,1013.3,1.4,4,328,-20.7,0,0,98.8,0,0,320,0.77
01/01/2018 01:45,11.9,-19.6,50,1013.3,1.7,3.2,11,-20.5,0,0,98.8,0,0,320,0.79
01/01/2018 02:00,11.9,-19.3,49,1013.4,2.2,4.7,342,-20.2,0,0,98.8,0,0,320,0.79
01/01/2018 02:15,11.9,-19.4,49,1013.5,1.6,2.7,17,-20.3,0,0,98.8,0,0,320,0.76
01/01/2018 02:30,11.9,-19.4,48,1013.6,0.9,1.5,343,-20.3,0,0,98.8,0,0,320,0.78
01/01/2018 02:45,11.9,-20,50,1013.7,0.8,1.2,114,-20.8,0,0,98.8,0,0,320,0.8
01/01/2018 03:00,11.9,-20.6,53,1013.7,0.9,1.3,107,-21.3,0,0,98.8,0,0,320,0.74
01/01/2018 03:15,11.9,-20.5,53,1013.6,0.4,0.8,79,-21.3,0,0,98.8,0,0,320,0.76
01/01/2018 03:30,11.9,-19.8,51,1013.5,0.4,0.7,323,-20.6,0,0,98.8,0,0,320,0.79
01/01/2018 03:45,11.9,-20,51,1013.6,0,0.7,130,-20.9,0,0,98.8,0,0,320,0.75
01/01/2018 04:00,11.9,-21.6,58,1013.7,0.9,1.4,107,-22.2,0,0,98.8,0,0,320,0.76
01/01/2018 04:15,11.9,-20.9,55,1013.8,0.6,1.2,0,-21.6,0,0,98.8,0,0,320,0.79
01/01/2018 04:30,11.9,-20.1,52,1013.9,0.8,2.5,322,-20.9,0,0,98.8,0,0,320,0.76
01/01/2018 04:45,11.9,-21.2,57,1013.8,0.6,0.9,169,-21.8,0,0,98.8,0,0,320,0.77
01/01/2018 05:00,11.9,-21,55,1013.9,0.8,1.3,352,-21.7,0,0,98.8,0,0,320,0.79
01/01/2018 05:15,11.9,-21.3,63,1013.7,1,1.6,287,-21.9,0,0,98.8,0,0,320,0.8
01/01/2018 05:30,11.9,-22.8,67,1014,0.7,0.9,165,-23.3,0,0,98.8,0,0,320,0.77
01/01/2018 05:45,11.9,-23,69,1014,0.7,0.9,133,-23.4,0,0,98.8,0,0,320,0.79
01/01/2018 06:00,11.9,-23,69,1014.1,0.7,0.8,108,-23.4,0,0,98.8,0,0,320,0.82
01/01/2018 06:15,11.9,-23.2,70,1014,0.8,1,293,-23.6,0,0,98.8,0,0,320,0.77
01/01/2018 06:30,11.9,-23.5,71,1014.3,0,0.6,0,-23.9,0,0,98.8,0,0,320,0.77
01/01/2018 06:45,11.9,-24.1,69,1014.2,0,0.7,0,-24.5,0,0,98.8,0,0,320,0.79
01/01/2018 07:00,11.9,-24,72,1014.3,0.8,1,318,-24.4,0,0,98.8,0,1,320,0.77
01/01/2018 07:15,11.9,-24.6,70,1014.2,0.8,1.2,232,-24.9,0,0,98.8,0,6,320,0.77
